GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MyBatis Thymeleaf,org.mybatis.scripting.thymeleaf.expression,Likes,11,85,0,14,0,15,1,11,1,4
MyBatis Thymeleaf,org.mybatis.scripting.thymeleaf.expression,Likes.Builder,0,66,0,0,0,12,0,9,0,9
MyBatis Thymeleaf,org.mybatis.scripting.thymeleaf.processor,MyBatisParamTagProcessor.Pair,0,36,0,2,0,11,0,3,0,2
MyBatis Thymeleaf,org.mybatis.scripting.thymeleaf.processor,MyBatisParamTagProcessor,0,260,0,28,0,43,0,19,0,5
MyBatis Thymeleaf,org.mybatis.scripting.thymeleaf.processor,MyBatisBindTagProcessor,0,68,1,3,0,15,1,4,0,3
MyBatis Thymeleaf,org.mybatis.scripting.thymeleaf,ThymeleafSqlSource.AbstractContext,5,69,0,6,1,16,1,9,1,6
MyBatis Thymeleaf,org.mybatis.scripting.thymeleaf,MyBatisIntegratingEngineContextFactory,0,72,0,6,0,15,0,6,0,3
MyBatis Thymeleaf,org.mybatis.scripting.thymeleaf,MyBatisDialect,4,59,0,0,2,7,1,4,1,4
MyBatis Thymeleaf,org.mybatis.scripting.thymeleaf,TemplateEngineCustomizer,0,21,0,0,0,3,0,2,0,2
MyBatis Thymeleaf,org.mybatis.scripting.thymeleaf,ThymeleafLanguageDriverConfig.TemplateFileConfig,0,55,0,0,0,20,0,11,0,11
MyBatis Thymeleaf,org.mybatis.scripting.thymeleaf,ThymeleafLanguageDriverConfig,7,287,1,3,2,63,1,29,0,28
MyBatis Thymeleaf,org.mybatis.scripting.thymeleaf,MyBatisBindingContext.IterationStatusManager,0,51,0,2,0,8,0,4,0,3
MyBatis Thymeleaf,org.mybatis.scripting.thymeleaf,TemplateEngineCustomizer.BuiltIn.new TemplateEngineCustomizer.BuiltIn() {...},0,7,0,0,0,2,0,2,0,2
MyBatis Thymeleaf,org.mybatis.scripting.thymeleaf,MyBatisDialect.MyBatisExpressionObjectFactory,0,15,0,0,0,4,0,4,0,4
MyBatis Thymeleaf,org.mybatis.scripting.thymeleaf,ThymeleafLanguageDriverConfig.DialectConfig,0,41,0,0,0,16,0,9,0,9
MyBatis Thymeleaf,org.mybatis.scripting.thymeleaf,ThymeleafLanguageDriver,0,194,0,2,0,43,0,9,0,8
MyBatis Thymeleaf,org.mybatis.scripting.thymeleaf,ThymeleafSqlSource,0,133,0,10,0,27,0,7,0,2
MyBatis Thymeleaf,org.mybatis.scripting.thymeleaf,ThymeleafSqlSource.MapBasedContext,0,18,0,0,0,5,0,2,0,2
MyBatis Thymeleaf,org.mybatis.scripting.thymeleaf,ThymeleafSqlSource.MetaClassBasedContext,0,48,0,0,0,10,0,2,0,2
MyBatis Thymeleaf,org.mybatis.scripting.thymeleaf,MyBatisBindingContext,0,57,0,0,0,13,0,8,0,8
MyBatis Thymeleaf,org.mybatis.scripting.thymeleaf,TemplateEngineCustomizer.BuiltIn,0,14,0,0,0,2,0,1,0,1
